Registracijos numeris,Registracijos data,docReklaminės veiklos subjektas (užsakovas),docReklaminės veiklos subjekto (užsakovo) buveinės adresas,docReklamos apmokestinamas plotas,docReklamos komisijos posėdžio data,docReklamos komisijos posėdžio protokolo Nr.,docReklamos leidimas galioja iki (data),docReklamos plotas (kv. m),docReklamos tipas,docReklamos turinys,docReklamos vykdytojas,docReklamos įrengimo adresas (gatvė),docReklamos įrengimo adresas (namo Nr.),docReklamos įrengimo adresas(seniūnija),docPastabos
A635-9(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,NAUJOMS PICOMS -60%,JCDecaux,T. Narbuto,.,Viršuliškių,
A635-11(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-12(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,LIETUVOS VYTIS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-15(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,SUPER NETTO. PIGU KASDIEN,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-16(2.3.2.1-TR3),1/6/2010,,,,,,,,"ANT STOTELĖS VITRINOS, SKYDŲ",RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-17(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,EAST ISLAND. SPA CENTRAI IR MASAŽO SALONAI,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-18(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,PANORAMA. GERŲ PIRKINIŲ MIESTAS,JCDecaux,Rinktinės / Šeimyniškių,.,Šnipiškių,
A635-19(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,PASAULIO KLASIKOS GENIJAI,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-20(2.3.2.1-TR3),1/6/2010,,,,,,,,"ANT STOTELĖS VITRINOS, SKYDŲ, KOLONŲ",ATVERK TEATRO DURIS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-21(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,ČIA PARDUODAMI NAUJI BUTAI,JCDecaux,Oslo,.,Lazdynų,
A635-22(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant viaduko,SU SUBARU - VISI KELIAI GERI!,UAB „ETN - BALTIC“,NARBUTO / UKMERGĖS,.,ŽVĖRYNO,
A635-23(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant viaduko,IKI. IŠLEIDŽIU MAŽIAU!,UAB „ETN - BALTIC“,Geležinio Vilko / J. Jasinskio,.,Naujamiesčio,
A635-6(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,„GIRILIS“ AUTOMOBILIŲ DALYS. SERVISAS,"UAB ,,GIRILIS""",J. KUBILIAUS,16,Žirmūnų,
A635-7(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,ŠOKIO IR JUDESIO PREKĖS,"UAB ,,KAMILLE DANCE""",Konstitucijos,6,Šnipiškių,
A635-4(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,OFFICE+,"UAB ""OFFICE PLUS""",Vilniaus,14,Senamiesčio,
A635-10(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,ALEXEI GRYNYUK,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-14(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,DIENA SU LEDO RITULIU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-13(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,SEESAM,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-3(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,“N VAISTINĖ”,"UAB ""Vizualiniai projektai""",Šiaurės,37,Naujoji Vilnia,
A635-8(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant kolonos,TU GALI!,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-1(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,"VETERINARIJOS GYDYKLA, VAISTINĖ","VIEŠOJI ĮSTAIGA ""NAUJOSIOS VILNIOS VETERINARIJOS GYDYKLA""",Parko,52,Naujoji Vilnia,
A635-2(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,TETE-A-TETE CASINO LOŠIMO AUTOMATŲ SALONAS,"UAB ,,ADMEN``",Antakalnio,71,Antakalnio,
A635-5(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,PZU LIETUVA,"UAB ,,PZU LIETUVA""",Eigulių,21,Vilkpėdės,
